,n_folds_selected,mean_rank,min_rank,max_rank,rank_range
std_delta_delta_log_energy,10,1.0,1.0,1.0,1-1
std_delta_log_energy,10,2.4,2.0,3.0,2-3
Delta_MFCC_2,10,3.0,2.0,4.0,2-4
MFCC_2,10,3.7,3.0,5.0,3-5
meanAutoCorrHarmonicity,10,5.0,4.0,6.0,4-6
meanPeriodPulses,10,6.6,5.0,8.0,5-8
std_Log_energy,10,8.3,6.0,20.0,6-20
rapJitter,10,10.9,7.0,15.0,7-15
Delta_MFCC_3,10,10.9,7.0,13.0,7-13
minIntensity,10,11.1,6.0,15.0,6-15
MFCC_3,10,11.1,6.0,17.0,6-17
apq11Shimmer,10,11.9,8.0,19.0,8-19
ddpJitter,10,13.7,7.0,25.0,7-25
DeltaDelta_MFCC_8,10,16.1,11.0,24.0,11-24
numPulses,10,16.4,9.0,23.0,9-23
numPeriodsPulses,10,16.5,9.0,23.0,9-23
maxPitch,10,16.7,7.0,30.0,7-30
DeltaDelta_MFCC_7,10,19.1,12.0,28.0,12-28
locPctJitter,10,19.3,10.0,26.0,10-26
Delta_MFCC_7,10,20.1,17.0,26.0,17-26
MFCC_7,10,20.5,16.0,29.0,16-29
meanIntensity,10,21.3,16.0,26.0,16-26
ppq5Jitter,10,25.6,12.0,36.0,12-36
locAbsJitter,10,25.6,20.0,32.0,20-32
DeltaDelta_MFCC_4,10,25.8,21.0,29.0,21-29
f1,10,25.8,19.0,29.0,19-29
maxIntensity,10,29.5,21.0,36.0,21-36
Delta_MFCC_4,10,32.7,28.0,38.0,28-38
MFCC_4,10,33.1,25.0,37.0,25-37
DeltaDelta_MFCC_9,10,33.9,28.0,39.0,28-39
MFCC_8,10,34.0,28.0,40.0,28-40
MFCC_0,10,34.3,28.0,39.0,28-39
stdDevPeriodPulses,10,35.5,28.0,42.0,28-42
Delta_MFCC_8,10,35.5,28.0,43.0,28-43
Delta_MFCC_0,10,36.1,31.0,43.0,31-43
DeltaDelta_MFCC_6,10,38.7,33.0,48.0,33-48
DeltaDelta_MFCC_10,10,40.4,33.0,55.0,33-55
f3,10,41.2,34.0,49.0,34-49
DeltaDelta_MFCC_3,10,41.2,31.0,48.0,31-48
f2,10,42.4,30.0,51.0,30-51
DeltaDelta_MFCC_11,10,43.2,35.0,54.0,35-54
meanNoiseToHarmHarmonicity,10,46.3,41.0,55.0,41-55
MFCC_5,10,47.0,43.0,52.0,43-52
Delta_MFCC_5,10,47.4,43.0,56.0,43-56
meanHarmToNoiseHarmonicity,10,49.0,42.0,57.0,42-57
DeltaDelta_MFCC_5,10,49.5,44.0,60.0,44-60
meanPitch,10,50.3,36.0,57.0,36-57
locDbShimmer,10,51.2,39.0,60.0,39-60
DeltaDelta_MFCC_12,10,53.1,46.0,60.0,46-60
MFCC_9,10,53.3,44.0,61.0,44-61
mean_Log_energy,10,54.2,40.0,61.0,40-61
Delta_MFCC_9,10,54.2,48.0,58.0,48-58
locShimmer,10,55.1,49.0,61.0,49-61
apq5Shimmer,10,55.8,47.0,62.0,47-62
DeltaDelta_MFCC_1,10,56.4,50.0,60.0,50-60
DeltaDelta_MFCC_0,10,58.0,46.0,62.0,46-62
ddaShimmer,10,58.5,54.0,63.0,54-63
apq3Shimmer,10,58.7,53.0,64.0,53-64
Delta_MFCC_6,9,21.11111111111111,12.0,27.0,12-27
MFCC_6,9,22.11111111111111,15.0,26.0,15-26
Delta_MFCC_1,3,24.666666666666668,20.0,30.0,20-30
MFCC_1,3,25.666666666666668,21.0,31.0,21-31
Delta_MFCC_12,3,41.666666666666664,40.0,43.0,40-43
MFCC_12,3,44.666666666666664,42.0,49.0,42-49
Delta_MFCC_11,3,48.666666666666664,44.0,53.0,44-53
MFCC_11,3,54.0,51.0,57.0,51-57
